date,return
1916-09-30,0.3381982
1916-10-31,0.35024279999999997
1916-11-30,0.35988509999999996
1916-12-31,0.3470828
1917-01-31,0.3403744
1917-02-28,0.3232753
1917-03-31,0.33512129999999996
1917-04-30,0.33191390000000004
1917-05-31,0.32253990000000005
1917-06-30,0.3310343
1917-07-31,0.3238672
1917-08-31,0.3162596
1917-09-30,0.30304790000000004
1917-10-31,0.2886282
1917-11-30,0.26657559999999997
1917-12-31,0.25948330000000003
1918-01-31,0.2801841
1918-02-28,0.287904
1918-03-31,0.27879840000000006
1918-04-30,0.2843078
1918-05-31,0.29076209999999997
1918-06-30,0.29914409999999997
1918-07-31,0.2991709
1918-08-31,0.30767459999999996
1918-09-30,0.3043617
1918-10-31,0.32197159999999997
1918-11-30,0.3190449
1918-12-31,0.3257875
1919-01-31,0.3223885
1919-02-28,0.33507359999999997
1919-03-31,0.33881690000000003
1919-04-30,0.35837179999999996
1919-05-31,0.3894046
1919-06-30,0.3801224
1919-07-31,0.4053237
1919-08-31,0.3754137
1919-09-30,0.38463
1919-10-31,0.4156956
1919-11-30,0.3929594
1919-12-31,0.39314390000000005
1920-01-31,0.38357070000000004
1920-02-29,0.3569835
1920-03-31,0.3939621
1920-04-30,0.36709309999999995
1920-05-31,0.354232
1920-06-30,0.352885
1920-07-31,0.34627659999999993
1920-08-30,0.3503361
1920-09-30,0.35435959999999994
1920-10-31,0.3605752
1920-11-30,0.33334590000000003
1920-12-31,0.31573559999999995
1921-01-31,0.3306949
1921-02-28,0.3298123
1921-03-31,0.32391640000000005
1921-04-30,0.3329626
1921-05-31,0.32852220000000004
1921-06-30,0.30607890000000004
1921-07-31,0.31626550000000003
1921-08-31,0.311747
1921-09-30,0.32201609999999997
1921-10-31,0.3312172
1921-11-30,0.35431090000000004
1921-12-31,0.3618295
1922-01-31,0.3666477
1922-02-28,0.3796895
1922-03-31,0.3939587
1922-04-30,0.41829809999999995
1922-05-31,0.44158379999999997
1922-06-30,0.425
1922-07-31,0.43236450000000004
1922-08-31,0.4650896
1922-09-30,0.4604403
1922-10-31,0.4733728
1922-11-30,0.452276
1922-12-31,0.46239440000000004
1923-01-31,0.4649428
1923-02-28,0.49720529999999996
1923-03-31,0.4923438
1923-04-30,0.48126759999999996
1923-05-31,0.4639206
1923-06-30,0.4301387
1923-07-31,0.44054
1923-08-31,0.4497532
1923-09-30,0.4379582
1923-10-31,0.4389335
1923-11-30,0.465725
1923-12-31,0.48167390000000004
1924-01-31,0.49836379999999997
1924-02-29,0.49026379999999997
1924-03-31,0.47950699999999996
1924-04-30,0.4779227
1924-05-31,0.48298729999999995
1924-06-30,0.5027858000000001
1924-07-31,0.5274007
1924-08-31,0.5325456000000001
1924-09-30,0.5356882
1924-10-31,0.5334251999999999
1924-11-30,0.5727886999999999
1924-12-31,0.6054851
1925-01-31,0.6203951
1925-02-28,0.6284976999999999
1925-03-31,0.5893733
1925-04-30,0.6101352
1925-05-31,0.6443424
1925-06-30,0.6498682
1925-07-31,0.6759785
1925-08-31,0.6809187
1925-09-30,0.7016168
1925-10-31,0.7446916
1925-11-30,0.7455153
1925-12-31,0.784385
1926-01-31,0.7861968
1926-02-28,0.7545576
1926-03-31,0.7128995
1926-04-30,0.7303524
1926-05-31,0.741047
1926-06-30,0.7762821
1926-07-31,0.7940956
1926-08-31,0.8322881999999999
1926-09-30,0.8548813
1926-10-31,0.8316404000000001
1926-11-30,0.8538415000000001
1926-12-31,0.8717511999999998
1927-01-31,0.8573064
1927-02-28,0.9019647
1927-03-31,0.9115673000000001
1927-04-30,0.9310359
1927-05-31,0.983527
1927-06-30,0.9780999
1927-07-31,1.0457356
1927-08-31,1.096377
1927-09-30,1.1357993999999998
1927-10-31,1.0908608999999998
1927-11-30,1.1689201
1927-12-31,1.1953976
1928-01-31,1.1934383999999998
1928-02-29,1.1765632
1928-03-31,1.3085127
1928-04-30,1.3553118999999998
1928-05-31,1.3767566999999998
1928-06-30,1.3253353
1928-07-31,1.3463836999999999
1928-08-31,1.4508552
1928-09-30,1.4902198999999998
1928-10-31,1.516499
1928-11-30,1.7032356
1928-12-31,1.7130997
1929-01-31,1.8157046000000001
1929-02-28,1.8099973999999999
1929-03-31,1.8105839
1929-04-30,1.8446588
1929-05-31,1.7705061000000002
1929-06-30,1.9747813000000003
1929-07-31,2.0701345
1929-08-31,2.2785214
1929-09-30,2.1723835
1929-10-31,1.7442315
1929-11-30,1.5164600000000001
1929-12-31,1.5605153999999999
1930-01-31,1.6642984
